"138v -- Greenhouse gas emissions in Finland, 1990-2024*"

"Year","Emission category","Greenhouse gas","Emission, thousand tonnes of CO2 eq. (GWP=AR5)"
"2001","1A3b Road transportation","Carbon dioxide (CO2)",11014
"2002","1A3b Road transportation","Carbon dioxide (CO2)",11238
"2003","1A3b Road transportation","Carbon dioxide (CO2)",11425
"2004","1A3b Road transportation","Carbon dioxide (CO2)",11783
"2005","1A3b Road transportation","Carbon dioxide (CO2)",11808
"2006","1A3b Road transportation","Carbon dioxide (CO2)",11963
"2007","1A3b Road transportation","Carbon dioxide (CO2)",12349
"2008","1A3b Road transportation","Carbon dioxide (CO2)",11807
"2009","1A3b Road transportation","Carbon dioxide (CO2)",11270
"2010","1A3b Road transportation","Carbon dioxide (CO2)",11719
"2011","1A3b Road transportation","Carbon dioxide (CO2)",11539
"2012","1A3b Road transportation","Carbon dioxide (CO2)",11303
"2013","1A3b Road transportation","Carbon dioxide (CO2)",11128
"2014","1A3b Road transportation","Carbon dioxide (CO2)",10077
"2015","1A3b Road transportation","Carbon dioxide (CO2)",10093
"2016","1A3b Road transportation","Carbon dioxide (CO2)",11319
"2017","1A3b Road transportation","Carbon dioxide (CO2)",10693
"2018","1A3b Road transportation","Carbon dioxide (CO2)",10861
"2019","1A3b Road transportation","Carbon dioxide (CO2)",10458
"2020","1A3b Road transportation","Carbon dioxide (CO2)",9858
"2021","1A3b Road transportation","Carbon dioxide (CO2)",9398
"2022","1A3b Road transportation","Carbon dioxide (CO2)",9200
"2023","1A3b Road transportation","Carbon dioxide (CO2)",8852
"2024*","1A3b Road transportation","Carbon dioxide (CO2)",9204
