year,emissions_ktco2e,electricity_gwh,vehicles_first_reg
2001.0,11014.0,81196.0,127509
2002.0,11238.0,83556.0,135367
2003.0,11425.0,85246.0,166234
2004.0,11783.0,87058.0,164741
2005.0,11808.0,84684.0,168121
2006.0,11963.0,90042.0,166673
2007.0,12349.0,90388.0,147854
2008.0,11807.0,87267.0,160998
2009.0,11270.0,81311.0,103023
2010.0,11719.0,87725.0,126418
2011.0,11539.0,84272.0,144433
2012.0,11303.0,85157.0,126514
2013.0,11128.0,84069.0,117756
2014.0,10077.0,83425.0,120111
2015.0,10093.0,82494.0,123484
2016.0,11319.0,85155.0,136441
2017.0,10693.0,85468.0,138099
2018.0,10861.0,87468.0,140393
2019.0,10458.0,86092.0,133520
2020.0,9858.0,81701.0,112974
2021.0,9398.0,87092.0,115297
2022.0,9200.0,81659.0,96651
2023.0,8852.0,80007.0,102730
2024.0,,,87817
