year,emissions_ktco2e,electricity_gwh,vehicles_first_reg,emissions_z,electricity_z,vehicles_z,d_emissions,d_electricity,d_vehicles,roll_corr_elec,roll_corr_veh
2001.0,11014.0,81196.0,127509,0.10193130227250759,-1.358241469460838,-0.19043764453759018,,,,,
2002.0,11238.0,83556.0,135367,0.3442709743112516,-0.491129278052128,0.1584482937444833,224.0,2360.0,7858.0,,
2003.0,11425.0,85246.0,166234,0.5465813255221673,0.12981123189732963,1.5289067128018468,187.0,1690.0,30867.0,,
2004.0,11783.0,87058.0,164741,0.9338920513698028,0.7955770330975764,1.46261927250468,358.0,1812.0,-1493.0,,
2005.0,11808.0,84684.0,168121,0.960938889766984,-0.07667904419237168,1.612687288716618,25.0,-2374.0,3380.0,0.850524519315132,0.8938780782795807
2006.0,11963.0,90042.0,166673,1.1286292878295077,1.8919595666414708,1.5483977953808528,155.0,5358.0,-1448.0,0.781661617329619,0.7612192966417942
2007.0,12349.0,90388.0,147854,1.5462324726819863,2.0190870319920697,0.7128563761227286,386.0,346.0,-18819.0,0.8009980355070503,-0.7855522364384996
2008.0,11807.0,87267.0,160998,0.9598570162310968,0.8723679008960598,1.2964344841374364,-542.0,-3121.0,13144.0,0.7593592088008668,-0.8691689135934187
2009.0,11270.0,81311.0,103023,0.3788909274596436,-1.3159881211506679,-1.2775871844682152,-537.0,-5956.0,-57975.0,0.913959642295956,0.6375973595682491
2010.0,11719.0,87725.0,126418,0.8646521450730188,1.0406464532965636,-0.23887675864623642,449.0,6414.0,23395.0,0.9248332940241307,0.7144955236101946
2011.0,11539.0,84272.0,144433,0.6699149086133138,-0.2280562572688075,0.560968008234847,-180.0,-3453.0,18015.0,0.9478260459061081,0.6394858769591295
2012.0,11303.0,85157.0,126514,0.4145927541439228,0.09711081450945877,-0.23461447179524647,-236.0,885.0,-17919.0,0.8302555152719172,0.7573807128140159
2013.0,11128.0,84069.0,117756,0.22526488536365408,-0.3026426025467601,-0.6234593493053507,-175.0,-1088.0,-8758.0,0.6763321137265592,0.549008987406358
2014.0,10077.0,83425.0,120111,-0.9117842008538456,-0.5392613530837131,-0.5189001249920034,-1051.0,-644.0,2355.0,0.6953073240605182,0.5200004971707702
2015.0,10093.0,82494.0,123484,-0.8944742242796496,-0.8813297641860476,-0.36914290052961685,16.0,-931.0,3373.0,0.8350856288280996,0.5839231698864965
2016.0,11319.0,85155.0,136441,0.4319027307181188,0.0963759736692819,0.2061326278899334,1226.0,2661.0,12957.0,0.9126846373432709,0.4769482364939684
2017.0,10693.0,85468.0,138099,-0.24535010274729965,0.21137856515696252,0.279745873712239,-626.0,313.0,1658.0,0.7213468056659407,0.3813368414864314
2018.0,10861.0,87468.0,140393,-0.06359534871824166,0.9462194053338354,0.38159676992235314,168.0,2000.0,2294.0,0.70914711796367,0.8430211751006089
2019.0,10458.0,86092.0,133520,-0.4995903836808034,0.44064890729214684,0.07644367068429117,-403.0,-1376.0,-6873.0,0.5329745788852763,0.7506714405863055
2020.0,9858.0,81701.0,112974,-1.1487145052131533,-1.1726941573161775,-0.8357745130702878,-600.0,-4391.0,-20546.0,0.6654375645038589,0.8303293750822279
2021.0,9398.0,87092.0,115297,-1.6463763317212883,0.8080693273805833,-0.7326360510406038,-460.0,5391.0,2323.0,0.25673644729502276,0.9435479042248276
2022.0,9200.0,81659.0,96651,-1.8605872918269637,-1.188125814959892,-1.5604964742026732,-198.0,-5433.0,-18646.0,0.5501354680931411,0.9459851353985856
2023.0,8852.0,80007.0,102730,-2.237079282315727,-1.795104348945989,-1.2905960391280074,-348.0,-1652.0,6079.0,0.5630056303699429,0.8869175587095133
2024.0,,,87817,,,-1.9527156621364778,,,-14913.0,,
